Marital status,Application mode,Application order,evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Output
1,12,1,1,1,1,13,14,6,6,0,0,1,1,0,28,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,1,1,6,4,0,0,1,1,1,18,0,16.2,0.3,-0.92,Graduate
1,8,2,1,1,1,13,28,10,8,0,0,1,1,0,19,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,22,27,10,10,0,0,1,1,0,18,0,7.6,2.6,0.32,Graduate
1,13,1,1,1,1,1,3,10,11,0,0,1,1,0,23,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,13,28,10,10,0,0,1,1,0,18,0,8.9,1.4,3.51,Graduate
1,12,1,1,1,1,13,14,4,10,0,0,1,1,0,27,0,8.9,1.4,3.51,Graduate
1,8,1,1,1,1,23,14,9,9,0,0,1,1,0,20,0,12.7,3.7,-1.7,Graduate
1,12,1,1,1,1,3,4,3,3,0,0,1,1,0,27,0,16.2,0.3,-0.92,Graduate
1,1,1,0,1,1,1,1,10,10,0,0,1,1,0,20,0,7.6,2.6,0.32,Graduate
1,14,4,1,1,1,13,10,10,11,0,0,1,1,0,19,0,9.4,-0.8,-3.12,Graduate
1,1,2,1,1,1,3,1,10,10,0,0,1,1,0,19,0,12.7,3.7,-1.7,Graduate
2,1,1,1,1,1,22,27,6,6,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,4,1,1,1,22,27,10,9,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
1,8,5,1,1,1,10,1,6,6,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,22,28,10,9,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,22,27,8,8,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,14,4,4,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,23,14,12,12,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,8,1,1,1,1,23,28,10,9,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,3,1,1,1,22,27,10,4,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,4,1,1,1,22,1,6,5,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,13,1,10,4,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,8,1,1,1,1,13,27,8,5,1,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
1,8,1,1,1,1,23,27,10,10,0,0,1,0,0,21,0,15.5,2.8,-4.06,Graduate
1,12,1,0,1,1,1,1,5,5,0,0,1,0,0,27,0,15.5,2.8,-4.06,Graduate
1,1,1,1,1,1,1,27,4,9,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
1,1,6,1,1,1,23,14,8,8,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,2,1,1,1,22,27,29,41,0,1,1,0,1,20,0,8.9,1.4,3.51,Graduate
2,1,1,0,1,1,1,27,5,8,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,1,1,2,2,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,27,10,10,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
1,1,6,1,1,1,1,27,10,10,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,22,27,10,9,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
1,8,2,1,1,1,13,27,5,8,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,14,5,6,0,0,1,0,0,20,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,23,27,8,6,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,1,3,1,1,1,13,27,10,8,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,8,2,1,1,1,1,28,6,7,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,27,10,10,1,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,12,1,1,1,1,13,27,10,10,0,0,1,0,1,25,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,1,14,6,8,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,12,1,1,1,1,23,28,29,44,0,1,1,0,1,24,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,22,27,10,8,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
1,8,5,1,1,1,22,27,8,6,0,0,1,0,1,19,0,16.2,0.3,-0.92,Graduate
1,1,5,1,1,1,22,27,10,10,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,3,1,1,1,1,1,5,6,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,14,2,1,1,1,1,14,5,4,0,0,1,0,0,27,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,28,6,2,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
1,8,1,1,1,1,13,1,6,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,13,28,4,6,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,16,1,0,1,1,1,28,6,8,0,0,1,0,0,22,0,16.2,0.3,-0.92,Graduate
1,14,1,1,1,1,1,14,6,11,0,0,1,0,0,20,0,12.7,3.7,-1.7,Graduate
1,8,4,1,1,1,1,14,5,2,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,3,1,1,1,22,27,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,3,1,1,1,3,3,10,8,0,0,1,1,0,19,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,5,3,3,7,7,0,0,1,0,1,19,1,10.8,1.4,1.74,Graduate
1,13,1,1,1,1,13,27,6,8,0,0,1,0,0,28,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,22,1,10,10,0,0,1,0,1,20,0,12.7,3.7,-1.7,Graduate
1,1,4,1,1,1,1,14,10,8,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,2,1,1,1,13,14,4,4,0,0,1,0,0,22,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,23,28,6,9,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,8,4,1,1,1,1,14,6,8,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,14,3,3,3,6,0,0,1,0,1,19,1,13.9,-0.3,0.79,Graduate
1,8,2,1,1,14,13,28,10,10,0,0,1,0,0,22,1,13.9,-0.3,0.79,Graduate
2,14,1,0,1,1,22,27,10,10,0,0,1,1,0,46,0,7.6,2.6,0.32,Graduate
1,8,3,1,1,1,23,14,10,9,0,0,1,1,0,18,0,13.9,-0.3,0.79,Graduate
3,12,1,0,1,1,22,1,10,3,0,0,1,1,0,43,0,9.4,-0.8,-3.12,Graduate
2,14,1,1,1,1,22,27,10,8,0,0,1,1,0,41,0,15.5,2.8,-4.06,Graduate
2,1,1,0,1,1,22,27,1,1,0,0,1,1,0,45,0,7.6,2.6,0.32,Graduate
2,12,1,0,1,1,13,1,5,9,0,0,1,1,0,41,0,10.8,1.4,1.74,Graduate
2,12,1,1,1,1,22,27,10,7,0,0,1,1,0,60,0,15.5,2.8,-4.06,Graduate
2,12,1,1,1,1,1,14,10,10,0,0,1,1,0,47,0,10.8,1.4,1.74,Graduate
2,12,1,1,1,1,22,27,12,12,0,0,1,1,0,33,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,3,3,3,3,0,0,1,1,0,18,0,10.8,1.4,1.74,Graduate
2,12,1,1,1,1,22,27,7,7,0,0,1,1,0,43,0,9.4,-0.8,-3.12,Graduate
1,14,1,0,1,1,13,27,5,11,0,0,1,1,0,44,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,13,28,10,6,0,0,1,1,0,22,0,7.6,2.6,0.32,Graduate
1,16,1,1,1,1,10,5,4,4,0,0,1,1,0,19,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,14,13,1,5,8,0,0,1,1,0,20,1,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,1,14,7,7,0,0,1,1,0,21,0,13.9,-0.3,0.79,Graduate
2,12,2,1,1,1,13,27,5,8,0,0,1,1,0,34,0,9.4,-0.8,-3.12,Graduate
1,8,2,1,1,1,3,3,5,11,0,0,1,1,0,21,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,3,3,3,0,0,1,1,0,19,0,8.9,1.4,3.51,Graduate
1,14,1,1,1,11,23,28,10,7,0,0,1,1,0,28,1,15.5,2.8,-4.06,Graduate
1,1,2,1,1,1,1,1,6,4,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,2,1,1,1,23,27,6,6,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,22,27,10,10,0,1,1,0,1,20,0,12.7,3.7,-1.7,Graduate
1,13,1,1,1,1,22,27,4,4,0,0,1,0,1,21,0,9.4,-0.8,-3.12,Graduate
1,1,3,1,1,1,22,27,10,10,0,0,1,1,1,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,1,4,4,0,0,1,1,0,20,0,12.4,0.5,1.79,Graduate
2,14,2,1,1,1,22,27,10,10,0,0,1,0,0,46,0,9.4,-0.8,-3.12,Graduate
1,8,1,1,1,1,3,3,3,3,0,0,1,1,0,27,0,15.5,2.8,-4.06,Graduate
2,12,1,0,1,1,22,27,10,8,0,0,1,1,0,54,0,8.9,1.4,3.51,Graduate
1,8,5,1,1,1,13,14,6,6,0,0,1,1,0,21,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,1,10,10,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,23,1,5,11,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,14,1,1,1,1,2,1,5,5,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
1,8,3,1,1,1,1,14,6,6,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,8,1,1,1,1,23,28,8,8,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,13,27,4,9,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,2,1,1,1,1,24,10,10,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,1,2,2,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,3,2,3,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,3,1,5,6,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,8,3,1,1,1,13,1,6,5,0,0,1,0,1,20,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,1,14,10,10,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,8,1,1,1,1,1,30,10,3,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,8,3,1,1,1,3,1,3,6,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
1,1,3,1,1,1,13,14,4,4,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,3,1,1,1,23,28,6,9,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
1,15,1,1,1,1,1,1,10,9,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
1,9,3,1,1,1,1,1,5,9,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,1,27,10,10,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
1,8,4,1,1,1,13,14,6,6,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,23,28,10,10,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,3,1,1,1,1,3,6,4,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,8,3,1,1,1,1,28,4,6,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,8,2,1,1,1,13,28,6,8,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,8,1,1,1,1,13,28,10,10,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,4,4,4,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,13,3,5,5,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,7,1,1,1,1,1,1,5,5,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,0,1,1,19,27,10,12,0,0,1,0,0,25,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,13,14,10,10,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
1,1,3,1,1,1,10,14,10,4,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,13,14,10,10,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
1,9,4,1,1,1,1,1,10,10,0,0,1,0,1,21,0,11.1,0.6,2.02,Graduate
1,8,3,1,1,1,1,3,5,4,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
1,1,3,1,1,1,1,3,10,8,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,1,4,1,1,1,13,14,5,6,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,23,1,4,11,0,0,1,1,0,19,0,9.4,-0.8,-3.12,Graduate
1,1,3,1,1,1,22,28,10,6,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,23,24,10,10,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
2,12,1,0,1,1,1,1,32,23,0,0,1,0,0,34,0,12.4,0.5,1.79,Graduate
1,8,1,1,1,1,13,14,10,10,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,8,6,1,1,1,1,14,5,5,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,6,1,1,1,3,3,2,2,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,1,1,1,1,13,14,10,10,0,0,1,0,1,23,0,10.8,1.4,1.74,Graduate
2,12,1,1,1,1,1,14,10,10,0,0,1,1,1,34,0,12.7,3.7,-1.7,Graduate
1,1,4,1,1,1,1,1,5,11,0,0,1,1,1,18,0,12.4,0.5,1.79,Graduate
1,9,1,1,1,1,13,14,5,6,0,0,1,1,0,20,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,13,1,10,8,0,0,1,1,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,1,1,29,44,0,0,1,1,0,20,0,8.9,1.4,3.51,Graduate
1,13,1,0,1,1,13,14,6,6,0,0,1,1,0,30,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,1,14,32,45,0,1,1,1,0,18,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,23,28,10,10,0,0,1,1,1,19,0,15.5,2.8,-4.06,Graduate
1,1,2,1,1,1,13,14,8,11,0,0,1,1,0,19,0,9.4,-0.8,-3.12,Graduate
1,8,2,1,1,1,23,28,10,9,0,0,1,1,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,3,2,3,6,0,0,1,1,0,19,0,9.4,-0.8,-3.12,Graduate
1,7,2,1,1,1,2,28,5,10,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,7,6,1,1,1,23,12,1,1,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
1,14,2,1,1,1,22,27,10,8,0,0,1,0,1,53,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,13,14,5,8,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,3,1,1,1,23,28,10,6,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
1,1,2,1,1,1,1,14,10,10,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,14,1,1,1,1,22,27,10,10,0,0,1,0,1,21,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,22,27,6,6,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,1,1,1,1,13,14,8,8,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,14,2,1,1,1,23,28,6,6,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,2,1,1,1,22,1,10,5,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
1,1,3,1,1,1,1,1,6,6,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,8,2,1,1,1,13,28,8,7,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,22,27,10,6,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,13,1,6,5,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
4,12,1,0,1,1,22,27,10,8,0,0,1,0,0,42,0,8.9,1.4,3.51,Graduate
1,6,1,1,1,12,13,14,5,6,0,0,1,0,0,22,1,12.4,0.5,1.79,Graduate
6,12,1,0,1,1,22,1,10,8,0,0,1,0,1,41,0,13.9,-0.3,0.79,Graduate
1,12,1,0,1,1,22,27,10,10,0,0,1,0,1,35,0,10.8,1.4,1.74,Graduate
1,12,1,1,1,1,22,27,10,8,0,0,1,0,1,26,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,13,28,10,10,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,3,1,1,1,1,1,4,4,0,0,1,0,0,20,0,8.9,1.4,3.51,Graduate
1,1,3,1,1,1,13,14,6,6,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,22,14,10,5,0,0,1,0,1,19,0,16.2,0.3,-0.92,Graduate
1,7,1,1,1,1,22,27,10,8,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,8,2,1,1,1,22,27,8,8,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,14,4,4,0,1,1,1,0,19,0,16.2,0.3,-0.92,Graduate
2,14,1,1,1,1,19,24,1,1,0,0,1,1,0,32,0,7.6,2.6,0.32,Graduate
1,12,1,0,1,1,22,27,10,10,0,0,1,1,0,30,0,7.6,2.6,0.32,Graduate
1,8,1,1,1,1,13,27,10,10,0,0,1,1,1,19,0,16.2,0.3,-0.92,Graduate
1,1,3,1,1,1,23,1,10,5,0,0,1,1,0,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,14,6,6,0,0,1,1,1,19,0,16.2,0.3,-0.92,Graduate
1,14,1,1,1,1,22,27,10,10,0,0,1,1,0,24,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,3,1,3,5,0,0,1,1,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,1,3,4,8,0,0,1,1,1,18,0,12.4,0.5,1.79,Graduate
1,14,1,1,1,1,19,24,1,1,0,0,1,1,0,25,0,7.6,2.6,0.32,Graduate
2,14,1,1,1,1,22,27,8,8,0,0,1,1,0,40,0,13.9,-0.3,0.79,Graduate
2,12,1,0,1,1,22,14,10,4,0,0,1,1,0,48,0,16.2,0.3,-0.92,Graduate
2,1,1,1,1,1,13,14,30,29,0,0,1,1,1,23,0,10.8,1.4,1.74,Graduate
1,9,1,1,1,1,1,28,10,7,0,0,1,1,0,21,0,15.5,2.8,-4.06,Graduate
1,1,1,1,1,1,1,28,5,6,0,0,1,1,0,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,13,14,4,4,0,0,1,1,0,19,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,1,3,10,3,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,3,3,3,3,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,12,1,0,1,1,22,27,10,9,0,0,1,0,1,33,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,1,14,4,4,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,3,4,3,6,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,8,2,1,1,1,13,14,8,8,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,8,1,1,1,1,3,14,6,6,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,8,6,1,1,1,22,27,10,7,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,13,27,6,6,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,3,1,1,1,1,28,4,4,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,13,14,10,11,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
1,8,1,1,1,1,13,1,5,4,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
1,8,1,1,1,1,1,28,5,6,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,9,2,1,1,1,22,28,29,28,0,0,1,0,1,20,0,8.9,1.4,3.51,Graduate
1,8,1,1,1,1,13,14,10,9,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,16,1,1,1,1,3,1,4,6,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,8,3,1,1,1,1,1,5,10,0,1,1,0,1,19,0,15.5,2.8,-4.06,Graduate
1,1,2,1,1,1,1,28,5,8,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Graduate
1,14,2,1,1,1,26,3,3,3,0,0,1,0,0,21,0,10.8,1.4,1.74,Graduate
1,8,1,1,1,1,23,28,10,10,0,0,1,0,0,20,0,11.1,0.6,2.02,Graduate
1,9,2,1,1,1,23,28,29,36,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,18,14,5,12,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,5,1,1,1,13,27,10,10,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
1,8,2,1,1,1,13,14,10,5,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,4,1,1,1,1,1,10,10,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
1,1,2,1,1,1,1,14,5,4,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,22,27,9,9,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,1,27,10,10,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,3,5,3,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,13,1,1,1,1,1,28,5,10,0,0,1,0,1,20,0,13.9,-0.3,0.79,Graduate
1,8,4,1,1,1,1,14,5,6,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,9,6,1,1,1,22,27,10,8,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
4,14,1,1,1,1,22,27,10,7,0,0,1,0,0,40,0,9.4,-0.8,-3.12,Graduate
1,1,6,1,1,1,23,28,10,10,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,5,1,1,1,13,14,5,8,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,6,1,1,1,2,1,5,5,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,14,10,7,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,23,28,6,6,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,28,5,9,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
1,8,2,1,1,1,13,27,5,8,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,22,27,10,8,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,13,14,6,8,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,28,2,8,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,13,14,5,11,0,0,1,0,0,20,0,12.7,3.7,-1.7,Graduate
1,12,1,0,1,1,22,9,10,11,0,0,1,0,0,27,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,13,1,5,5,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,6,1,1,1,23,27,6,7,0,0,1,0,1,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,22,28,4,4,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
1,14,1,1,1,1,1,14,10,9,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,13,14,10,10,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,1,5,5,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,3,3,2,12,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,22,27,10,6,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,2,1,1,1,13,14,5,8,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,1,27,5,10,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,14,5,1,1,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,13,14,10,10,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,14,10,5,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,13,1,10,4,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,10,28,10,6,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,23,14,18,16,0,1,1,0,0,20,0,16.2,0.3,-0.92,Graduate
1,8,1,1,1,1,1,1,5,6,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,3,1,1,1,22,28,1,8,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,3,1,1,1,13,1,10,10,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,22,28,10,10,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,1,4,6,4,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
1,1,2,1,1,1,13,27,2,10,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,13,14,1,6,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,3,1,1,1,23,14,9,9,0,1,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,8,4,1,1,1,13,26,12,8,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,5,1,1,1,1,14,7,8,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,14,10,8,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
1,9,1,1,1,1,23,27,10,8,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,23,14,10,6,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,13,28,6,10,0,0,1,0,1,20,0,7.6,2.6,0.32,Graduate
1,1,3,1,1,1,1,1,6,6,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
